id_order_aux,time_placed,details,o_delivery_address
978,11/12/2021,in tempus,1 Bartillon Circle
979,06/03/2025,lobortis sapien sapien,30269 Sundown Avenue
980,22/10/2027,ultrices posuere cubilia curae,9 Atwood Street
981,25/10/2020,lorem integer,7510 Armistice Junction
982,11/04/2028,dictumst morbi vestibulum,109 Colorado Place
983,11/01/2020,massa quis augue,341 Schmedeman Court
984,17/07/2018,turpis sed,297 Summerview Place
985,13/06/2021,leo rhoncus sed,45 Laurel Court
986,02/07/2022,vivamus vel nulla eget,69 Pepper Wood Court
987,10/05/2028,eu felis fusce,56227 Basil Lane
988,21/02/2026,dui nec nisi volutpat,79 Glendale Road
989,30/07/2027,lacus at,9 7th Point
990,02/09/2027,integer ac,4169 Roxbury Point
991,03/10/2018,accumsan tortor,4955 Heath Avenue
992,28/02/2028,donec quis orci eget,49 Talisman Street
993,10/06/2024,ipsum primis in,145 Troy Plaza
994,25/01/2025,odio cras mi,55 Buhler Plaza
995,07/04/2022,erat tortor sollicitudin mi,833 Melody Junction
996,20/07/2022,diam in magna,1 Sauthoff Lane
997,29/08/2021,nisl duis ac nibh,2173 Tennessee Park
998,19/01/2022,neque aenean auctor gravida,2 North Circle
999,17/02/2018,morbi ut odio cras,743 Maywood Circle
1000,15/06/2020,nulla ac,14719 Clove Crossing
